size,threads,time
30000,1,154.89
30000,1,154.939
30000,1,154.926
30000,1,154.934
30000,1,154.948
30000,2,80.8659
30000,2,80.8558
30000,2,80.9647
30000,2,80.5526
30000,2,80.5404
30000,3,55.7588
30000,3,55.3963
30000,3,55.4095
30000,3,55.4472
30000,3,55.8964
30000,4,42.5558
30000,4,42.8023
30000,4,42.7264
30000,4,42.9494
30000,4,42.5078
30000,5,34.7878
30000,5,34.9635
30000,5,35.0336
30000,5,35.219
30000,5,34.7767
30000,6,29.3576
30000,6,29.1151
30000,6,29.3722
30000,6,29.2231
30000,6,29.4713
30000,7,26.0215
30000,7,25.8725
30000,7,25.5426
30000,7,25.4774
30000,7,25.3461
30000,8,22.7926
30000,8,22.8864
30000,8,22.8416
30000,8,22.979
30000,8,23.0649
30000,9,20.8864
30000,9,20.9341
30000,9,20.59
30000,9,21.0996
30000,9,21.17
30000,10,19.1885
30000,10,19.3639
30000,10,18.9634
30000,10,19.2166
30000,10,19.0002
30000,11,17.867
30000,11,17.8603
30000,11,17.8667
30000,11,17.8788
30000,11,18.2209
30000,12,16.6152
30000,12,17.2146
30000,12,17.3628
30000,12,17.3008
30000,12,17.2388
