size,tasks,time
10000,1,10.0537
10000,1,10.1727
10000,1,10.2046
10000,1,10.1788
10000,1,10.1964
10000,2,6.51754
10000,2,6.59012
10000,2,6.59237
10000,2,6.57271
10000,2,6.5552
10000,3,4.64482
10000,3,4.65983
10000,3,4.54552
10000,3,4.65088
10000,3,4.56668
10000,4,3.71066
10000,4,3.74014
10000,4,3.6971
10000,4,3.73291
10000,4,3.77193
10000,5,3.32312
10000,5,3.36244
10000,5,3.30926
10000,5,3.55155
10000,5,3.23275
10000,6,3.05566
10000,6,3.04301
10000,6,3.04783
10000,6,3.07162
10000,6,3.03939
10000,7,2.86562
10000,7,2.86047
10000,7,2.88498
10000,7,2.84025
10000,7,2.80574
10000,8,2.68375
10000,8,2.69666
10000,8,2.70861
10000,8,2.64136
10000,8,2.69589
10000,9,2.58315
10000,9,2.6423
10000,9,2.55814
10000,9,2.52156
10000,9,2.56729
10000,10,2.66063
10000,10,2.46365
10000,10,2.55758
10000,10,2.46351
10000,10,2.46777
10000,11,2.42417
10000,11,2.44597
10000,11,2.39493
10000,11,2.40136
10000,11,2.3931
10000,12,2.35391
10000,12,2.36356
10000,12,2.39667
10000,12,2.3809
10000,12,2.34963
10000,13,2.25043
10000,13,2.36328
10000,13,2.28289
10000,13,2.25309
10000,13,2.30315
10000,14,2.24428
10000,14,2.21579
10000,14,2.25585
10000,14,2.24547
10000,14,2.26524
10000,15,2.2276
10000,15,2.19958
10000,15,2.19325
10000,15,2.19092
10000,15,2.21336
10000,16,2.25076
10000,16,2.18303
10000,16,2.17585
10000,16,2.18414
10000,16,2.17827
10000,17,2.1599
10000,17,2.18524
10000,17,2.41006
10000,17,2.15652
10000,17,2.27004
10000,18,2.18593
10000,18,2.22537
10000,18,2.15517
10000,18,2.16791
10000,18,2.18796
10000,19,2.14446
10000,19,2.14073
10000,19,2.14566
10000,19,2.18192
10000,19,2.12858
10000,20,2.14222
10000,20,2.22528
10000,20,2.18893
10000,20,2.15322
10000,20,2.23534
10000,21,2.1849
10000,21,2.14943
10000,21,2.16942
10000,21,2.36277
10000,21,2.14086
10000,22,2.15075
10000,22,2.1494
10000,22,2.17104
10000,22,2.22246
10000,22,2.14831
10000,23,2.19815
10000,23,2.19658
10000,23,2.14856
10000,23,2.1777
10000,23,2.18759
10000,24,2.15928
10000,24,2.16138
10000,24,2.22554
10000,24,2.21707
10000,24,2.16178
10000,25,3.15299
10000,25,2.18465
10000,25,2.16965
10000,25,2.17707
10000,25,2.16267
10000,26,2.38807
10000,26,2.39118
10000,26,2.37159
10000,26,2.37528
10000,26,2.39005
10000,27,2.18143
10000,27,2.1492
10000,27,2.26924
10000,27,2.13863
10000,27,2.26326
10000,28,2.13822
10000,28,2.15554
10000,28,2.17705
10000,28,2.17078
10000,28,2.16825
10000,29,2.14789
10000,29,2.13078
10000,29,2.15141
10000,29,2.12474
10000,29,2.1215
10000,30,2.25439
10000,30,2.14626
10000,30,2.20651
10000,30,2.14275
10000,30,2.13045
10000,31,2.12359
10000,31,2.14692
10000,31,2.14357
10000,31,2.11479
10000,31,2.12415
10000,32,2.10922
10000,32,2.13218
10000,32,2.1018
10000,32,2.136
10000,32,2.11233
10000,33,2.20015
10000,33,2.11344
10000,33,2.14884
10000,33,2.10765
10000,33,2.14254
10000,34,2.10776
10000,34,2.15843
10000,34,2.12615
10000,34,2.10506
10000,34,2.15012
10000,35,2.09872
10000,35,2.128
10000,35,2.15393
10000,35,2.12156
10000,35,2.12321
10000,36,2.09405
10000,36,2.11169
10000,36,2.09677
10000,36,2.11428
10000,36,2.08761
10000,37,2.13527
10000,37,2.11023
10000,37,2.0958
10000,37,2.13923
10000,37,2.11176
10000,38,2.09115
10000,38,2.10583
10000,38,2.09396
10000,38,2.10005
10000,38,2.12542
10000,39,2.0598
10000,39,2.0848
10000,39,2.14358
10000,39,2.10685
10000,39,2.13708
10000,40,2.0766
10000,40,2.20914
10000,40,2.05547
10000,40,2.06505
10000,40,2.07663
10000,41,2.07194
10000,41,2.08754
10000,41,2.11391
10000,41,2.10831
10000,41,2.11734
10000,42,2.07944
10000,42,2.07322
10000,42,2.16573
10000,42,2.1288
10000,42,2.21799
10000,43,2.10026
10000,43,2.10979
10000,43,2.08632
10000,43,2.09872
10000,43,2.09489
10000,44,2.099
10000,44,2.08128
10000,44,2.07008
10000,44,2.07648
10000,44,2.08484
10000,45,2.07743
10000,45,2.08845
10000,45,2.18015
10000,45,2.06508
10000,45,2.14542
10000,46,2.06572
10000,46,2.12113
10000,46,2.07631
10000,46,2.07653
10000,46,2.07671
10000,47,2.04302
10000,47,2.04847
10000,47,2.10422
10000,47,2.05094
10000,47,2.2741
10000,48,2.11547
10000,48,2.07162
10000,48,2.11382
10000,48,2.06841
10000,48,2.09416
