cores,m,n,k,elapsed,gflops
1,10000,10000,10000,14.408029,138.811490
1,10000,10000,10000,14.485334,138.070683
1,10000,10000,10000,14.412812,138.765423
1,10000,10000,10000,14.578017,137.192869
1,10000,10000,10000,14.598872,136.996889
2,10000,10000,10000,8.156743,245.195915
2,10000,10000,10000,8.332164,240.033675
2,10000,10000,10000,8.320344,240.374672
2,10000,10000,10000,8.251934,242.367427
2,10000,10000,10000,8.325397,240.228778
3,10000,10000,10000,5.281889,378.652395
3,10000,10000,10000,5.233482,382.154717
3,10000,10000,10000,5.225839,382.713685
3,10000,10000,10000,5.243524,381.422886
3,10000,10000,10000,5.234209,382.101705
4,10000,10000,10000,3.933570,508.443961
4,10000,10000,10000,3.935749,508.162438
4,10000,10000,10000,3.930299,508.867100
4,10000,10000,10000,3.928508,509.099154
4,10000,10000,10000,3.928481,509.102618
5,10000,10000,10000,3.141381,636.662707
5,10000,10000,10000,3.143250,636.284142
5,10000,10000,10000,3.136876,637.576965
5,10000,10000,10000,3.135862,637.783111
5,10000,10000,10000,3.131974,638.575004
6,10000,10000,10000,2.603814,768.104106
6,10000,10000,10000,2.614242,765.040173
6,10000,10000,10000,2.601530,768.778491
6,10000,10000,10000,2.600067,769.210849
6,10000,10000,10000,2.611109,765.958056
7,10000,10000,10000,2.258094,885.702777
7,10000,10000,10000,2.264586,883.163572
7,10000,10000,10000,2.259427,885.180337
7,10000,10000,10000,2.260098,884.917250
7,10000,10000,10000,2.264840,883.064621
8,10000,10000,10000,1.903857,1050.499047
8,10000,10000,10000,1.901708,1051.686291
8,10000,10000,10000,1.903742,1050.562509
8,10000,10000,10000,1.899417,1052.954785
8,10000,10000,10000,1.900093,1052.580327
9,10000,10000,10000,1.708317,1170.742559
9,10000,10000,10000,1.710931,1168.954544
9,10000,10000,10000,1.710593,1169.185241
9,10000,10000,10000,1.709213,1170.129085
9,10000,10000,10000,1.705319,1172.801026
10,10000,10000,10000,1.534846,1303.062303
10,10000,10000,10000,1.534094,1303.701286
10,10000,10000,10000,1.535923,1302.148325
10,10000,10000,10000,1.529548,1307.575513
10,10000,10000,10000,1.530264,1306.964083
11,10000,10000,10000,1.393210,1435.533779
11,10000,10000,10000,1.391623,1437.171099
11,10000,10000,10000,1.395633,1433.041779
11,10000,10000,10000,1.392663,1436.097107
11,10000,10000,10000,1.394626,1434.076054
12,10000,10000,10000,1.296707,1542.368719
12,10000,10000,10000,1.296258,1542.902812
12,10000,10000,10000,1.303720,1534.071586
12,10000,10000,10000,1.301399,1536.808122
12,10000,10000,10000,1.291755,1548.280993
